year ,concedida
1829,Juan Arguello
1831,Dionisio Herrara
1833,Dionisio Herrara
1835,José Nuñez
1839,Joaquín Cosio
1845,José León Sandoval
1849,Norberto Ramírez
1851,José de Jesús Alfaro
1851,Laureano Pineda
1852,Fulgencio Vega
1855,Walker Corral 
1858,Tomás Martínez
1864,Tomás Martínez
1867,Tomás Martínez
1867,Fernando Guzmán
1869,Pedro J. Chamorro 
1875,Pedro J. Chamorro 
1877,Pedro J. Chamorro 
1887,Adán Cárdenas
1892,Roberto Sacasa
1893,Roberto Sacasa
1893,Joaquín Zavala 
1893,Jose Santos Zelaya
1909,Jose Santos Zelaya
1909,José Madriz
1915,Adolfo Díaz
1922,Diego Manuel Chamorro B.
1923,Diego Manuel Chamorro B.
1927,Adolfo Díaz
1928,Adolfo Díaz
1930,José María Moncada
1932,José María Moncada
1932,José María Moncada
1933,Juan Bautista Sacasa
1934,Juan Bautista Sacasa
1948,Víctor Manuel Román y Reyes
1950,Víctor Manuel Román y Reyes
1957,Luis Somoza Debayle
1960,Luis Somoza Debayle
1962,Luis Somoza Debayle
1967,Lorenzo Guerrero
1983,JGRN
1984,JGRN
1985,Daniel Ortega
1985,Sergio Ramírez
1987,Daniel Ortega
1987,Daniel Ortega
1988,Daniel Ortega
1990,Sergio Ramírez
1990,Violeta Barrios de Chamorro 
1993,Violeta Barrios de Chamorro 
2000,Arnoldo Alemán
2019,Daniel Ortega
