country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,0,0,0,0,0,0,0.01,,0,0,0,0.02,0.03,0.08
Albania,,,,,,0.01,,0.33,2.14,3.11,3.59,4.38,5.48,6.25,7.12,8.31,9.1,10.36
Algeria,,,,0.06,0.11,0.41,0.5,0.84,1.39,2.31,2.49,2.66,3.07,3.34,4.09,5.69,7.04,7.77
American Samoa,,,,,,,,,,,,,,,,,,
Andorra,,,1.64,4.92,8.24,13.11,18.05,22.41,24.65,27.16,29.01,30.76,32.64,34.33,36.32,39.34,42.04,44.54
Angola,,,,,,,0.04,0.06,0.07,0.07,0.06,0.07,0.08,0.09,0.33,0.55,0.43,0.33
Anguilla,,10.81,11.9,13.71,11.8,17.55,22,25.1,27.34,27.67,27.52,28.29,29.02,30.07,30.43,34.22,,
Antigua and Barbuda,,,,,1.88,6.5,1.71,2.48,5.39,17.11,7.52,6.27,13.51,16,10.88,10.01,9.17,8.82
Argentina,,0.25,0.39,0.68,1.4,2.37,4,6.5,7.71,8.61,9.77,10.98,12.23,14.69,15.17,15.79,16.47,17.72
Armenia,,0,0,0,0.03,0.07,,0.13,0.47,1.38,3.25,5.58,7.36,8.4,9.39,9.82,10.23,10.76
Aruba,,,,1.44,7.05,12.27,13.84,15.8,18.15,18.53,18.9,,,18.61,18.5,18.21,,
Ascension,,,,,4.38,,,,,,,,,,,,,
Australia,,0.64,1.33,2.62,5.07,9.96,18.96,,24.9,24.02,24.91,24.7,25.13,25.84,27.84,28.69,30.65,32.4
Austria,2.36,3.96,5.54,7.35,10.59,14.22,17.28,19.51,20.74,22.44,24.38,24.8,25.01,26.03,27.32,28.29,28.96,28.75
Azerbaijan,,,0.01,,,0.03,0.05,0.17,0.68,1.12,5.26,10.65,14.78,18.24,19.97,19.75,18.55,18.37
Bahamas,,1.37,2.44,3.47,3.97,4.06,4.94,5.99,7.31,8.9,6.85,4.23,20.95,19.22,20.19,20.94,21.41,21.97
Bahrain,,0.17,0.68,1.25,1.8,2.41,4.03,6.59,8.4,11.77,12.48,22.81,22.72,22.81,21.52,18.45,16.29,14.31
Bangladesh,,,,,,,,0.03,0.03,0.21,0.27,0.3,0.39,0.97,1.94,3.04,4.05,4.43
Barbados,,,,10.03,10.85,11.66,14.11,17.07,17.75,20.58,20.1,22.32,23.75,24,27.43,27.54,32.44,24.2
Belarus,,,0,0,0.01,0.02,0.12,1.78,5.03,11.51,17.59,22.16,26.73,29.39,28.3,30.61,32.36,33.41
Belgium,1.4,4.46,7.87,11.93,15.46,19.06,23.09,25.52,27.67,29.03,30.84,32.18,33.31,34.34,35.75,36.51,37.6,38.31
Belize,,,,0.35,1.02,1.77,2.49,2.51,2.63,2.66,2.77,2.95,2.96,2.88,2.81,4.84,5.01,5.42
Benin,,,0,0,0,0,0.02,0.01,0.1,0.21,0.29,0.4,0.43,0.42,0.44,0.69,0.2,0.26
Bermuda,,,,,,28.38,36.34,44.38,52.54,62.21,62.7,,,63.88,55.67,48.38,36.97,37.18
Bhutan,,,,,,,,,0.29,0.47,1.19,1.79,2.23,2.68,3.22,3.54,2.07,2.07
Bolivia (Plurinational State of),,,0.04,0.07,0.1,0.14,0.19,0.36,0.83,0.99,0.97,0.73,1.14,1.48,1.64,1.69,2.64,3.44
Bosnia and Herzegovina,0,0,0.01,0.04,0.18,0.36,1.06,2.24,5.01,7.8,10.5,11.66,12.87,14.32,15.21,17.96,18.84,18.93
Botswana,,,,,,0.09,0.1,0.18,0.46,0.51,0.59,0.93,1.06,1.01,1.54,1.67,2.62,1.42
Brazil,0.06,0.19,0.41,0.53,1.71,1.73,2.52,3.98,5.19,6.02,7.17,8.98,9.53,10.55,11.74,12.37,12.89,13.8
British Virgin Islands,,,,,,,,,,29.08,25.27,26.17,26.08,21.28,21.61,22.12,20.28,17.71
Brunei Darussalam,,0.56,0.79,1.09,1.74,2.23,2.42,3.1,4.45,5.22,5.58,5.88,4.97,6.79,7.35,8.24,8.53,9.61
Bulgaria,,,,,0.09,2.15,5.04,8.31,11.23,13.39,15.19,17.08,18.22,19.56,20.5,22.49,23.8,25.36
Burkina Faso,,,0,0,0,0,0.01,0.05,0.07,0.08,0.09,0.09,0.09,0.08,0.03,0.04,0.07,0.06
Burundi,,,,,,,,,0,0,0,0.01,0.01,0.02,0.02,0.04,0.04,0.04
Cabo Verde,,,,,0.06,0.2,0.38,0.79,1.5,2.21,3.2,4.2,3.86,4.08,3.62,3.11,2.88,2.74
Cambodia,,,0,0,0.01,0.01,0.02,0.06,0.12,0.21,0.25,0.15,0.2,0.22,0.43,0.54,0.62,0.83
Cameroon,,,,,,0,0,0,0,0,0.03,0.05,0.07,0.08,0.07,0.07,0.2,0.18
Canada,4.59,9.14,11.22,14.27,16.95,21.69,24.64,27.48,29.46,30.45,31.66,32.67,33.49,34.31,35.3,36.48,36.89,38.02
Cayman Islands,,,,,,,,,33.12,33.71,33.96,33.26,33.6,34.84,39.66,45.67,40.38,50.74
Central African Rep.,,,,,,,,,,,,0.02,0.01,,,0.04,,
Chad,,,,,,,,,,0,0,0.13,0.15,0.11,0.07,0.08,0.07,0.07
Chile,0.05,0.43,1.21,2.23,3,4.39,6.2,7.9,8.57,9.83,10.53,11.73,12.52,13.14,14.14,15.31,16.22,16.94
China,0,0.03,0.25,0.86,1.9,2.83,3.83,4.97,6.16,7.69,9.29,11.44,12.74,13.66,14.42,19.83,22.99,27.97
Cocos Keeling Islands,,,,,,,,,,,,,,,,,,
Colombia,0.02,0.03,0.08,0.15,0.3,0.74,1.43,2.72,3.95,4.66,5.76,7.21,8.4,9.58,10.52,11.46,12.15,12.88
Comoros,,,,,0,0,,0.01,0.02,0.01,0.05,0.06,0.17,0.18,0.21,0.21,0.21,0.18
Congo (Rep. of the),,,,,,,,,,0,0.01,0.03,0.03,0.01,0.01,,,
Costa Rica,,,0.22,0.36,0.67,1.06,1.93,2.17,2.48,4.07,8.72,9.12,9.64,10.3,10.85,11.62,13.16,15.17
Côte d'Ivoire,,,,0,0,0.01,0.05,0.05,0.05,0.05,,,0.22,0.26,0.56,0.47,0.58,0.59
Croatia,,,,0.08,0.6,2.65,5.76,8.87,12.13,16.52,19.36,20.7,21.39,22.32,23.12,23.28,24.77,26.16
Cuba,,,,,,,,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.07,0.13,0.29
Cyprus,,0.26,0.6,1.01,1.68,3.09,6.02,9.18,18.74,21.81,23.49,24.99,25.53,26.59,28.55,30.91,32.77,34.79
Czech Republic,0.02,0.06,0.15,0.34,2.3,6.91,10.8,14.45,16.88,19.42,21.46,23.74,25.1,26.96,28.26,27.79,28.93,29.63
Dem. People's Rep. of Korea,,,,,,,,,,,,,,,,,,
Dem. Rep. of the Congo,,,,,,,,,,,0,,,0,0,0,0,0
Denmark,1.25,4.44,8.4,13.33,18.83,24.79,31.87,34.8,36.48,36.6,38.03,38.39,38.85,40.31,41.35,42.28,43.09,43.67
