country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.14,0.14,0.15,0.16,,,,,,0.02,0.06,0.05,0.29,0.3,0.31,0.33,0.33,0.33
Albania,4.89,6.33,7.05,8.2,8.86,9.06,8.38,9.92,11.48,12.25,11.33,11.58,10.68,9.63,8.07,7.76,8.5,8.42
Algeria,5.65,5.95,6.09,6.42,7.57,7.73,8.41,8.95,8.8,7.26,8.09,8.31,8.76,8.17,7.92,8.2,8.38,9.93
American Samoa,17.82,21.64,23.93,18.12,17.47,17.59,17.73,17.96,18.24,18.5,18.69,,18.11,18.08,17.86,18.01,,
Andorra,52.32,51.24,49.85,48.06,45.96,44.94,45.08,44.93,44.57,44.85,45.2,45.85,46.49,47.74,48.27,49.8,50.07,49.91
Angola,0.39,0.45,0.46,0.47,0.5,0.49,0.48,0.45,0.53,1.34,1.2,0.66,0.83,0.83,1.07,1.02,1.06,0.54
Anguilla,55.67,54.53,49.61,45.27,46,43.68,45.14,45.78,46.83,46.21,45.62,44.75,42.47,41.96,40.81,41.06,,
Antigua and Barbuda,45.82,43.81,44.1,43.53,43.06,40.87,41.53,41.47,41.09,39.91,38.37,37.07,34.26,33.87,20.14,20.02,22.29,23.53
Argentina,21.3,21.7,20.34,22.46,22.62,24.12,23.91,23.77,24.13,23.94,24.05,23.34,22.46,22.71,22.85,23.2,23.18,22.01
Armenia,17.38,17.42,17.89,18.68,19.3,19.94,20.41,21.3,21.55,20.77,20.59,20.41,20.25,19.99,19.71,18.9,18.18,17.24
Aruba,41.94,39.97,39.09,38.54,38.49,38.25,38.33,38.14,37.95,36.17,34.46,,35.1,33.92,33.72,33.54,,
Ascension,46.12,49.01,,50.85,50.23,,,,,,,,,,,,,
Australia,52.71,52.21,53.4,53.1,51.98,50,48.31,46.59,43.9,49.26,48.03,47.03,45.88,44.71,39.15,35.71,35.15,34.6
Austria,49.53,49.36,47.74,47.42,46.5,45.3,43.51,40.99,39.4,38.86,40.4,40.05,39.68,38.87,40.76,41.6,40.95,43.08
Azerbaijan,9.86,10.55,11.19,11.26,11.99,12.81,13.64,14.37,14.86,15.7,16.68,18.41,18.61,18.73,18.89,18.67,17.48,17.18
Bahamas,38.39,40.68,40.94,41.76,43.39,40.42,39.18,38.81,38.07,36.34,35.84,36.28,36.29,36.05,32.88,31.26,30.95,28.8
Bahrain,25.73,24.92,23.87,23.85,23.08,21.76,20.26,19.65,19.77,20.08,18.37,21.63,23.03,22.16,21.3,20.42,19.64,20.09
Bangladesh,0.37,0.42,0.44,0.53,0.59,0.75,0.78,0.81,0.9,0.82,0.84,0.64,0.62,0.69,0.61,0.54,0.47,0.43
Barbados,45.89,47.64,48.99,49.22,49.7,49.22,48.82,48.62,48.68,48.73,49.18,50.13,50.91,52.65,47.91,52.61,49.02,42.16
Belarus,27.7,28.99,30.26,31.53,32.82,34.13,35.17,38.5,39.11,41.99,43.69,44.44,46.53,47.14,47.6,47.87,47.63,47.51
Belgium,48.98,49.73,47.58,46.79,45.81,45.46,44.52,45.31,43.92,42.69,42.42,42.08,41.82,41.13,40.4,39.77,38.48,37.2
Belize,14.46,13.82,11.94,12.37,12.21,11.92,11.81,11.36,10.17,9.93,9.42,8.76,7.55,6.99,6.45,6.57,6.1,5.54
Benin,0.75,0.84,0.86,0.88,0.94,0.96,0.94,1.31,1.33,1.42,1.45,1.61,1.61,1.59,1.9,1.84,1.15,0.51
Bermuda,87.58,87.3,86.67,83.24,82.76,80.56,88.61,88.76,89.13,89.73,90.37,,109.21,114.7,46.86,19.35,33,35.67
Bhutan,2.47,2.98,3.23,3.79,4.73,5.03,4.69,4.35,3.92,3.69,3.61,3.71,3.59,3.46,3.07,2.77,2.64,2.65
Bolivia (Plurinational State of),6.12,6.17,6.83,6.93,6.97,7.08,7.18,7.18,8.22,8.24,8.58,8.72,8.6,8.41,8.29,8.22,7.97,7.7
Bosnia and Herzegovina,20.71,22.46,23.91,24.82,25.16,25.62,26.17,28.2,27.4,26.65,26.83,25.91,24.29,23.48,23.77,21.85,21.18,21.65
Botswana,7.86,8.44,8.32,7.28,7.2,7.35,7.01,7.15,7.31,6.94,6.82,7.29,7.68,8.18,7.8,7.26,6.32,6.16
Brazil,17.64,21.06,21.54,21.48,21.42,21.32,20.53,20.63,21.37,21.29,21.41,21.66,22.09,22.25,21.61,21.21,20.23,19.48
British Virgin Islands,50.38,49.8,54.37,71.88,76.96,68.04,64.35,59.65,55.58,51.3,46.86,44.85,43.03,41.57,40.05,39.03,36.42,32.07
Brunei Darussalam,24.16,26,23.43,23.18,23.11,22.97,21.65,21.22,21.3,20.99,20.56,20.26,17.74,,17.4,18.2,17.54,16.8
Bulgaria,36.03,36.4,36.51,36.1,35.22,32.41,31.47,30.4,29.16,29.58,29.23,30.9,29.18,26.73,25.16,23.06,20.74,18.21
Burkina Faso,0.46,0.49,0.5,0.53,0.65,0.68,0.69,0.82,1.01,1.01,0.92,0.88,0.85,0.8,0.71,0.41,0.41,0.4
Burundi,0.31,0.31,0.33,0.34,0.39,0.37,0.36,0.36,0.37,0.37,0.4,0.33,0.19,0.22,0.22,0.21,0.19,0.22
Cabo Verde,12.56,14.45,15.52,15.59,15.33,15.09,14.89,14.75,14.61,14.46,14.33,14.66,13.66,12.72,11.33,11.93,12,11.89
Cambodia,0.25,0.27,0.28,0.24,0.25,0.25,0.19,0.27,0.31,0.38,2.51,3.65,3.96,2.8,2.36,1.65,1.44,0.83
Cameroon,0.62,0.68,0.69,0.59,0.59,0.58,0.73,1.03,1.35,2.24,2.7,3.26,3.5,3.69,5.2,4.6,4.48,3.68
Canada,67.8,68.09,65.84,65.17,64.36,56.21,55.86,55.37,54.63,55.37,53.83,52.91,50.79,48,46.07,43.43,41.76,39.51
Cayman Islands,83.96,87.73,84.94,82.56,80.34,78.15,75.95,68.08,67.58,66.6,67.29,65.8,65,62.9,55.61,55.92,56.14,56.48
Central African Rep.,0.25,0.23,0.23,0.24,0.25,0.24,,,,0.08,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04
Chad,0.12,0.12,0.13,0.13,0.13,0.13,0.19,0.3,0.4,0.51,0.43,0.26,0.22,0.24,0.17,0.12,0.09,0.07
Chile,21.64,22.52,22.19,20.58,20.94,21.43,20.73,20.98,21.15,21.13,20.36,19.65,19.02,19.17,19.46,19.4,18.84,17.73
China,11.29,13.97,16.5,20.11,23.73,26.52,27.67,27.35,25.32,23.2,21.65,20.85,20.23,19.31,17.94,16.53,14.72,13.75
Cocos Keeling Islands,,,,,,,,,,,,,,,,,,
Colombia,17.8,17.98,18.68,18.62,17.76,17.74,17.93,17.86,17.66,16.46,15.65,15.36,15.07,15.08,15.03,14.74,14.63,14.24
Comoros,1.25,1.6,1.8,2.27,2.53,2.77,3.04,4.06,4.38,4.57,3.08,3.28,3.32,3.1,3.09,1.88,1.64,2.11
Congo (Rep. of the),0.68,0.66,0.65,0.2,0.38,0.43,0.36,0.34,0.22,0.27,0.31,0.31,0.32,0.33,0.33,0.34,0.33,0.32
Costa Rica,22.9,23.64,25.55,28.1,32.08,32.69,30.86,32.88,32.46,33.41,23.33,22.43,21.38,20.58,18.52,17.88,17.5,16.91
Côte d'Ivoire,1.58,1.72,1.87,1.35,1.43,1.41,1.45,1.3,1.83,1.41,1.39,1.32,1.29,1.24,1.08,1.2,1.22,1.26
Croatia,38.87,40.4,41.52,42.64,43.06,43,41.89,42.33,43.15,42.83,43.11,42.84,40.58,39,36.85,34.86,34.08,33.45
Cuba,4.38,5.13,5.93,6.44,6.82,7.59,8.51,9.33,9.62,9.89,10.27,10.51,10.69,10.84,11.06,11.31,11.52,11.75
Cyprus,46.66,45.24,43.62,42.49,41.18,40.68,38.95,38.5,52.61,51.36,49.92,47.71,43.2,40.5,38.43,38.39,37.72,37.33
Czech Republic,37.63,37.59,35.85,35.42,33.47,31.36,28.04,23.2,23.77,24.1,22.47,20.85,20,18.89,18.89,17.98,16.57,15.45
