country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,0,0,0.09,0.11,1.22,2.11,1.9,1.84,3.55,4,5,5.45,5.9,7,8.26,10.6,11.45
Albania,0.11,0.33,0.39,0.97,2.42,6.04,9.61,15.04,23.86,41.2,45,49,54.66,57.2,60.1,63.25,66.36,71.85
Algeria,0.49,0.65,1.59,2.2,4.63,5.84,7.38,9.45,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.95,47.69
American Samoa,,,,,,,,,,,,,,,,,,
Andorra,10.54,,11.26,13.55,26.84,37.61,48.94,70.87,70.04,78.53,81,81,86.43,94,95.9,96.91,97.93,98.87
Angola,0.11,0.14,0.27,0.37,0.46,1.14,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13,14.34
Anguilla,22.41,25.88,24.8,24.52,25.04,29,36,41,44,48,49.6,53.64,59.21,64.8,70.39,75.98,81.57,
Antigua and Barbuda,6.48,8.9,12.5,17.23,24.27,27,30,34,38,42,47,52,58,63.4,67.78,70,73,76
Argentina,7.04,9.78,10.88,11.91,16.04,17.72,20.93,25.95,28.11,34,45,51,55.8,59.9,64.7,68.04,70.97,75.81
Armenia,1.3,1.63,1.96,4.58,4.9,5.25,5.63,6.02,6.21,15.3,25,32,37.5,41.9,54.62,59.1,64.35,69.72
Aruba,15.44,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.66,93.54,97.17
Ascension,34.94,38.17,,,,,,33,33,33,35,36,41.03,,,,,
Australia,46.76,52.69,,,,63,66,69.45,71.67,74.25,76,79.49,79,83.45,84,84.56,86.54,86.54
Austria,33.73,39.19,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.74,80.03,80.62,81,83.94,84.32,87.94
Azerbaijan,0.15,0.31,5,,,8.03,11.99,14.54,17.08,27.4,46,50,54.2,73,75,77,78.2,79
Bahamas,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.75,72,76.92,78,80,85
Bahrain,6.15,15.04,18.05,21.55,21.46,21.3,28.24,32.91,51.95,53,55,77,88,90,90.5,93.48,95,95.88
Bangladesh,0.07,0.13,0.14,0.16,0.2,0.24,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,18.02,18.02
Barbados,3.97,11.94,27.84,39.69,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.55,81.76
Belarus,1.86,4.3,8.95,,,,16.2,19.7,23,27.43,31.8,39.65,46.91,54.17,59.02,67.3,71.11,74.44
Belgium,29.43,31.29,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.61,80.72,82.17,85,85.05,86.52,87.68
Belize,5.96,,5.68,,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.59,44.58,47.08
Benin,0.23,0.36,0.7,0.95,1.18,1.27,1.54,1.79,1.85,2.24,3.13,4.15,4.5,4.9,6,11.25,11.99,14.12
Bermuda,42.95,47.51,52.03,56.52,60.99,65.45,69.9,74.35,82.3,83.25,84.21,88.34,91.3,95.3,96.8,98.32,98,98.37
Bhutan,0.4,0.86,1.68,2.44,3.16,3.85,4.52,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.77,48.11
Bolivia (Plurinational State of),1.44,2.12,3.12,3.51,4.44,5.23,6.2,10.5,12.5,16.8,22.4,30,35.34,36.99,34.6,35.56,39.7,43.83
Bosnia and Herzegovina,1.08,1.2,2.65,3.97,15.47,21.33,25.12,27.92,34.66,37.74,42.75,43.89,45.06,48.52,49.92,52.6,60.26,69.49
Botswana,2.9,3.43,3.39,3.35,3.3,3.26,4.29,5.28,6.25,6.15,6,9,16,30,36.74,37.31,39.36,41.41
Brazil,2.87,4.53,9.15,13.21,19.07,21.02,28.18,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55,58.33,60.87,67.47
British Virgin Islands,,,18.89,,,,,,,36,37,37.4,37.6,,,,,
Brunei Darussalam,9,12.92,15.33,19.6,29.72,36.47,42.19,44.68,46,49,53,56,60.27,64.5,68.77,71.2,90,94.87
Bulgaria,5.37,7.61,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.98,51.9,53.06,55.49,56.66,59.83,63.41
Burkina Faso,0.08,0.16,0.2,0.37,0.4,0.47,0.63,0.75,0.92,1.13,2.4,3,3.73,9.1,9.4,11.39,13.96,15.88
Burundi,0.08,0.11,0.12,0.2,0.35,0.54,0.66,0.7,0.81,0.9,1,1.11,1.22,1.26,1.38,4.87,5.17,5.59
Cabo Verde,1.82,2.69,3.52,4.32,5.32,6.07,6.81,8.28,14,21,30,32,34.74,37.5,40.26,42.68,50.32,57.16
Cambodia,0.05,0.08,0.23,0.26,0.3,0.32,0.47,0.49,0.51,0.53,1.26,3.1,4.94,6.8,14,22.33,32.4,34
Cameroon,0.25,0.28,0.36,0.59,0.98,1.4,2.03,2.93,3.4,3.84,4.3,5,7.5,10,16.21,20.68,23.2,23.2
Canada,51.3,60.2,61.59,64.2,65.96,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,88.47,91.16,92.7
Cayman Islands,,,,,,38.03,44.5,52,61,64.5,66,69.47,69.7,71.4,74.1,77,79,81.07
Central African Rep.,0.05,0.08,0.13,0.15,0.22,0.27,0.31,0.38,1,1.8,2,2.2,3,3.4,3.6,3.8,4,4.34
Chad,0.04,0.05,0.17,0.32,0.36,0.4,0.58,0.85,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5,6.5
Chile,16.6,19.1,22.1,25.47,28.18,31.18,34.5,35.9,37.3,41.56,45,52.25,55.05,58,61.11,76.63,82.33,82.33
China,1.78,2.64,4.6,6.2,7.3,8.52,10.52,16,22.6,28.9,34.3,38.3,42.3,45.8,47.9,50.3,53.2,54.3
Cocos Keeling Islands,,,,,,,,,,,,,,,,,,
Colombia,2.21,2.85,4.6,7.39,9.12,11.01,15.34,21.8,25.6,30,36.5,40.35,48.98,51.7,52.57,55.9,58.14,62.26
Comoros,0.27,0.44,0.55,0.85,1.33,2,2.2,2.5,3,3.5,5.1,5.5,5.98,6.5,6.98,7.46,7.94,8.48
Congo (Rep. of the),0.03,0.03,0.16,0.46,1.08,1.46,2.01,2.76,4.29,4.5,5,5.6,6.11,6.6,7.11,7.62,8.12,8.65
Costa Rica,5.8,9.56,19.89,20.33,20.79,22.07,25.1,28.4,32.29,34.33,36.5,39.21,47.5,45.96,53,59.76,66.03,71.58
Côte d'Ivoire,0.23,0.4,0.5,0.76,0.85,1.04,1.52,1.8,1.9,2,2.7,2.9,5,12,19.27,38.44,41.21,43.84
Croatia,6.64,11.56,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.79,61.94,66.75,68.57,69.8,72.7,67.1
Cuba,0.54,1.08,3.77,5.24,8.41,9.74,11.16,11.69,12.94,14.33,15.9,16.02,21.2,27.93,29.07,37.31,42.98,49.1
Cyprus,15.26,18.82,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.86,60.69,65.45,69.33,71.72,75.9,80.74
Czech Republic,9.78,14.7,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43,74.11,74.23,75.67,76.48,78.72
Dem. People's Rep. of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Dem. Rep. of the Congo,0.01,0.01,0.09,0.13,0.2,0.24,0.3,0.37,0.44,0.56,0.72,1.2,1.68,2.2,3,3.8,6.21,8.62
Denmark,39.17,42.96,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81,92.26,94.63,95.99,96.33,96.97,97.1
Djibouti,0.19,0.34,0.49,0.63,0.78,0.95,1.27,1.62,2.26,4,6.5,7,8.27,9.5,10.71,11.92,13.13,55.68
Dominica,8.81,13.25,18.42,23.62,30.32,38.54,39.4,40.27,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,69.62
Dominican Rep.,3.7,4.43,6.82,7.9,8.87,11.48,14.84,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.22,63.87,64.99
Ecuador,1.46,2.67,4.26,4.46,4.83,5.99,7.2,10.8,18.8,24.6,29.03,31.37,35.14,40.28,45.59,48.94,54.06,57.27
Egypt,0.64,0.84,2.72,4.04,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89,37.82,41.25,44.95
El Salvador,1.18,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.32,23.11,24.76,26.8,29,31.25
Equatorial Guinea,0.13,0.17,0.32,0.52,0.84,1.15,1.28,1.56,1.82,2.13,6,11.5,13.94,16.4,18.86,21.32,23.78,26.24
